,SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,T_pyMelt,T_MELTS,F_MELTS,F_pyMelt,P,Augite,Garnet,Liquid,Olivine,Orthopyroxene,X,Spinel,Plagioclase
0,39.1484335955962,2.24407747179325,0.624084001928562,1.3361618382454,19.9888984128908,26.837923942039,3.67304224611012,6.14737849139658,1654.6317954053984,1561.9999999999927,-7.226103282417373e-16,0.00029160955963128914,4850.0,13.8717550248453,14.698526503515,0.0411004425807559,53.1969296481184,16.5216883809406,0.0004179847714914663,,
1,39.1354217125288,2.23821482823911,0.64285877578813,1.35724749107741,19.9726115666789,26.8988942005042,3.72360471832734,6.03114670685608,1653.6588083233264,1562.999999999991,1.1561765251867798e-15,0.0010358458985210842,4829.0,13.8057029018743,14.6968244082754,0.104429766776367,53.1279342398631,16.5951086832107,0.001062033629374221,,
2,39.1180282041912,2.22910090213785,0.662451358275808,1.38293056845842,19.9594822940941,26.9793322463834,3.78467661674138,5.88399780971785,1652.6193998482106,1564.299999999998,-1.4452206564834747e-16,0.0019057460499757829,4807.0,13.7160406388749,14.6988508366579,0.188434689433093,53.0376888784274,16.6889849566067,0.0019163499383005492,,
3,39.1002238816835,2.21778633203039,0.681320869318106,1.40895473218244,19.9480397772896,27.0660576789721,3.84854518889441,5.72907153962937,1651.540905162631,1565.6999999999957,-2.8904413129669495e-16,0.0028498544141450535,4786.0,13.6158554494472,14.7031771601518,0.282639096661419,52.9380586296708,16.7902696640688,0.0028743933353139323,,
4,39.0848523098135,2.20506997819871,0.701934412207332,1.4337047568569,19.9322792295602,27.1515095778399,3.91452992159815,5.57611981392532,1650.4345520145469,1567.0999999999926,-8.6713239389008475e-16,0.003846935625209832,4764.0,13.5126096607558,14.7065883777828,0.382758131223366,52.8338524394304,16.8941913908077,0.003892587523882495,,
5,39.0727337385708,2.19194238761346,0.722369242208527,1.45535275232802,19.9143176790196,27.2298323233266,3.97740981002678,5.43604206690623,1649.3064730650183,1568.3999999999905,2.8904413129669495e-16,0.004885390311870777,4743.0,13.4137694250238,14.709171326124,0.481145799529546,52.7329755860065,16.9929378633161,0.004893174001114067,,
6,39.0616355079864,2.17636526349903,0.744391940679634,1.47693868634086,19.8936395338262,27.3135579948741,4.0454832222295,5.2879878505644,1648.1605114803688,1569.7999999999975,7.226103282417373e-16,0.005957952761777506,4721.0,13.3038555120272,14.7123355324286,0.592451168620313,52.6204835703254,17.1008742165984,0.0060251313802533665,,
7,38.9815215218525,2.20178177416126,0.758866390168924,1.5489664470488,19.9190261399361,27.4612819872171,4.14807521972752,4.98048051988782,1646.9992864144617,1572.2999999999943,0.0010169836265634103,0.00705967439016087,4700.0,13.1554752497985,14.7267854141316,0.599367217389805,52.4746930020595,17.2736791166206,0.006101671764123027,,
8,38.9019651099153,2.22773767700669,0.77352509972582,1.62258282670843,19.9404784455583,27.6042792779728,4.25277319876944,4.67665836434313,1645.8246878823088,1574.799999999991,0.0020339672531268205,0.008186986840494707,4679.0,13.0021168815613,14.7412115725006,0.609064465865819,52.3262807029106,17.4513263771617,0.0062067101382433385,,
9,38.8258936152834,2.26050420935681,0.790786430668913,1.69575510619078,19.949352813754,27.7186053972747,4.34767051743274,4.41143191003855,1644.63813780262,1576.8999999999974,0.003254347605004069,0.009337207749540138,4657.0,12.7949252309716,14.7529063820718,0.602440524397047,52.1915964765072,17.6681313860523,0.006146725072921614,,
10,38.8407187590071,2.2573346282414,0.81871456933039,1.69814530211391,19.877443413432,27.7321790121505,4.38019438753189,4.3952699281928,1643.4407405295028,1577.0999999999954,0.004169632868910921,0.010508255753888524,4636.0,12.7912888641109,14.7362349987744,0.627538118302576,52.1113670859781,17.653570932834,0.00640868176371095,,
11,38.7709283221947,2.29336587080609,0.838101462558814,1.76841067811759,19.8673178671316,27.8343757026011,4.47103538525192,4.15646471133812,1642.2333756133687,1578.9999999999927,0.005593409946099696,0.01169847488311615,4614.0,12.5951931643749,14.7399571199785,0.598606457618391,51.9389125726401,17.9073306853881,0.006121972362634394,,
12,38.7863710423322,2.28909505028454,0.867591072155942,1.76999544233104,19.7946178533644,27.8476147668005,4.50478540358514,4.13992936914614,1641.0167579858612,1579.1999999999916,0.006508695210006114,0.012906520632561567,4593.0,12.5901152049403,14.723031195007,0.625966800474376,51.8569355043086,17.8939512952698,0.006407685540734727,,
13,38.7156314280815,2.32437533183041,0.887630734559284,1.84250303204617,19.7825402783472,27.9518909053346,4.60156785058525,3.89386043921558,1639.7914786551455,1581.199999999998,0.0079324722871959,0.014131282935973988,4571.0,12.3811299457142,14.7278310502872,0.606439701743101,51.675218743666,18.1593805585895,0.006216706322328047,,
14,38.7322166850429,2.32452239945884,0.919671831996021,1.84301537417172,19.7043373403422,27.9482013931875,4.62614327322548,3.90189170257538,1638.5580331710623,1581.0999999999972,0.00905115427641529,0.015371832292041391,4550.0,12.3182008361629,14.7102432589354,0.62217619437187,51.6023833044805,18.1869964060494,0.0063852236696620435,,
15,38.6601666911371,2.36117775132938,0.939143458651757,1.91717403930738,19.6921206284156,28.0489093836937,4.7241729058138,3.65713514165133,1637.3168421077214,1583.0999999999935,0.010474931353603487,0.016627381002257198,4529.0,12.1059296392851,14.7153075893393,0.601654417729454,51.4212267285466,18.4558816250997,0.006183498640590474,,
