,SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,T_pyMelt,T_MELTS,F_MELTS,F_pyMelt,P,Augite,Garnet,Liquid,Olivine,X,Orthopyroxene
0,40.5695063293962,4.75123683993622,1.15750725588509,0.0328959190284395,19.1626787326214,11.6056595056803,0.713013360601198,22.0075020568512,1546.7740718919717,1362.499999999994,1.2824395110480099e-15,0.0008616684781284338,4460.0,47.1262685489372,29.1124920965318,0.0880559107413816,23.4031834437895,0.0008829430536586955,
1,40.4490735269719,4.74149083401789,1.17650996463729,0.0369740191823,19.5128677779243,11.980554427476,0.771803010189674,21.3307264396008,1546.3025712727233,1369.399999999996,0.0,0.0030857774893867616,4440.0,47.0643021733847,29.3653339311018,0.310547674975314,22.9898162205382,0.0031138842371935625,
2,40.3013118969917,4.72604500643928,1.19273320469715,0.042602561517429,19.933784831927,12.4453354459543,0.847064882666662,20.5111221698065,1545.8230552149785,1377.6999999999975,-2.8498655801066886e-16,0.005904219844073343,4420.0,46.9821976782123,29.6679106422731,0.595153763614435,22.4847379159002,0.0059676502919325655,
3,40.1251928993722,4.73295203471236,1.20699625189796,0.0498996107939509,20.3780500461314,12.9637738186752,0.935139400310931,19.6079959381059,1545.337784540498,1386.5999999999976,0.0009024365787625509,0.00915180660533543,4400.0,46.8932869623088,29.9884134024644,0.823431408392228,21.9348682268346,0.008264064716903129,
4,40.020102933374,4.66862493063869,1.22695695023985,1.610312e-14,20.7906830158223,13.4916895810579,1.03362108051566,18.7683215083516,1544.8478764938866,1395.6999999999985,0.0041110999699197435,0.012746714696396882,4380.0,46.7512340106467,30.3237423062576,0.860149367619516,21.3848743154761,0.008660384289362836,
5,39.8024682827341,4.63479299220367,1.23965547668271,0.0700320928945953,21.2670718630427,14.1089543886076,1.14886231573035,17.7281625881043,1544.3540246705816,1405.3999999999978,0.007821117015942345,0.01663813416889644,4360.0,46.6152429588711,30.6839662407314,0.880489596197064,20.7703012042005,0.008898328410278558,
6,39.6282315354942,4.57843308903386,1.25962003744861,0.0839503466957957,21.6989139744319,14.6754918595427,1.27511854395767,16.8002406133953,1543.856710535285,1414.2999999999988,0.01153113406196808,0.02079079279991094,4340.0,45.9107890722326,31.0544580445435,0.914405141153068,20.1311436685321,0.009275767307294265,0.569204073538641
7,39.4615251601017,4.5288408830112,1.28035766886944,0.0999429693293905,22.0865457751044,15.2117492460016,1.40399884120942,15.9270394563729,1543.3562919142719,1422.4999999999905,0.0158427754938339,0.025178475951636907,4320.0,45.1202087692235,31.3519754936291,0.92046563743255,19.501071828277,0.009378152189837499,1.2562782714378
8,39.2782339907308,4.4807756485796,1.29746956944203,0.120120187828111,22.4995883558916,15.7786317332328,1.54875086449595,14.9964296497991,1542.8530474066329,1430.9999999999918,0.020254687656672408,0.029780773536582584,4300.0,44.3133024314203,31.6476742596817,0.934462905034561,18.8259949534667,0.009563636322122203,1.9885654503968
9,39.0905252787149,4.43555546196883,1.31329462416717,0.145218320293878,22.8932561420446,16.3730580102898,1.70864654147811,14.0404456210427,1542.3472014042857,1439.699999999992,0.024867141281460125,0.0345812471355253,4280.0,43.5008788042412,31.9341408707587,0.947799296935308,18.157740600603,0.009746008194707539,2.70944042746179
10,38.9410906703026,4.3779113536353,1.33350577633505,0.171865959550186,23.1925099139785,16.9172901626527,1.86320070107239,13.2026254624732,1541.83893937748,1447.499999999994,0.029579865637219666,0.03956631015773309,4260.0,42.7766742732189,32.1675288183805,0.96784865695846,17.5129108519456,0.01000050275840524,3.35503739949661
11,38.7845762685249,4.32093516685321,1.35149174151467,0.204665121201539,23.4882044726718,17.4824900579674,2.03263609042402,12.3350010808424,1541.3284177940513,1455.499999999995,0.034392860723955886,0.044724501107237594,4240.0,42.0415048373069,32.4007036799713,0.995770270672538,16.8862665445889,0.010340293568769877,3.97575466746024
12,38.6314147519946,4.26590981833708,1.36888682303185,0.243334037344381,23.7536314219282,18.0468823022686,2.21140976436012,11.4785310807351,1540.8157708649653,1463.399999999997,0.03950666800361086,0.05004598935229469,4220.0,41.3152465301688,32.618698932027,1.010642824616,16.2452939724325,0.010550608880008363,4.60011774075561
13,38.4817615406442,4.2133594983679,1.38570428407574,0.288749469012817,23.987665476492,18.6080852647596,2.39938022591777,10.63529424073,1540.3011153067669,1471.199999999998,0.04492128747618474,0.055522226180212055,4200.0,40.5950459994194,32.8227641385234,1.01077732494361,15.5902857631439,0.010611835432478834,5.23112677396981
14,38.3247781940072,4.15951413600569,1.39955011883381,0.34485602552516,24.2163890596695,19.1900973516275,2.6062062493689,9.75860886496228,1539.7845538087777,1479.2999999999906,0.05033590694876204,0.061145690747375456,4180.0,39.8352508952751,33.0301191956005,1.02820568453896,14.9166847226264,0.010856358193843948,5.899739501959
15,38.2135677092624,4.08732522798661,1.42006113454734,0.400300889410832,24.3580263994011,19.6936736287248,2.79554909737334,9.03149591329353,1539.2661776228708,1486.2999999999925,0.05575052642133849,0.0669097003144376,4160.0,39.1736492609284,33.1933765626222,1.05457224529738,14.2855453218352,0.011198600884542645,6.46285660931674
16,38.1117954167045,4.019131166415,1.44224683260093,0.462589262356434,24.4517661816001,20.183593741155,2.98814060836589,8.34073679080222,1538.7460685403844,1493.0999999999954,0.06146595808683383,0.07280826538414233,4140.0,38.4300012403473,33.3481654266802,1.06760431215369,13.646632086397,0.011406028976000954,7.10759693442186
