,La,Ce,Pb,Nd,Sr,Ti,Yb,K,Na,Na_new
96,0.0002769508221402431,0.06867303287781275,0.0010493332697798206,2.693706967700424,1.1229323721888829,0.37000722570069355,1.0936478385507293,0.0005363901657368632,0.12479410333618556,1.0194459720320674
97,0.0002597496247592309,0.06590805417670696,0.0010070840196780345,2.6485697271704702,1.0764005984993612,0.36656602050042686,1.0912901735947764,0.0005093246665845507,0.12229737563821327,1.023005813173995
98,0.00024312015807081806,0.06318085586276752,0.0009654120590236115,2.6030061785541845,1.0305217535813624,0.36304959124221436,1.0887498130994395,0.0004828581975979466,0.11978631718615088,1.0272351123304146
99,0.00022693483731511688,0.060468602382309534,0.0009239684574546443,2.5568086654524214,0.984829824816049,0.3594975306826013,1.0863251404631207,0.0004567408178388697,0.11724236013853917,1.0302789914965498
100,0.00021160334761922116,0.05781383028330182,0.0008834031792015556,2.5097858773264607,0.9394172613844125,0.3560425363330282,1.0848668278080864,0.00043126313122267675,0.11462650298123356,1.0327384023375537
101,0.00019755372648262172,0.05533737815178088,0.0008455626542716938,2.4654282567808123,0.8978077126374197,0.35257562037451873,1.0824473786778743,0.00040796113994804396,0.11220089392929067,1.0357647135395345
102,0.0001841371860282136,0.052897285307201336,0.00080827770418474,2.42005680414336,0.8561924304803269,0.34917852665514604,1.080952767005065,0.00038507229290571837,0.10969312797632119,1.0378244124097291
103,0.0001720966999484015,0.05064134624940639,0.0007738066489722535,2.377002474027376,0.8177755623702163,0.3459590369525715,1.0796945238758677,0.00036419636980818793,0.10732015530496973,1.0400048466527265
104,0.00016066455228612857,0.048462787703638634,0.0007405179784936291,2.3348504694840253,0.7809412543941675,0.34269689157148847,1.078135722769185,0.0003442901953990486,0.10500246840396188,1.0409246732840771
105,0.00015049507826752059,0.046466183692330465,0.000710009598015236,2.2950356001646823,0.7472092923502338,0.33959340882432015,1.0766926013594886,0.0003262881567891051,0.10281862099926914,1.0418288006957452
106,0.00014098674644572018,0.04455528617375439,0.0006808108243867392,2.255789115677999,0.7152850329970412,0.3364274016960412,1.0743803864608148,0.0003093461555222722,0.10071862319760996,1.0422011354988638
107,0.00013207310919568949,0.042719328787750165,0.0006527571461625659,2.217299193032789,0.6843046137498758,0.3333903502341925,1.0729637248543835,0.00029314009385942517,0.09862079025535087,1.0430704472842165
108,0.00012434809901103395,0.041061568720765065,0.0006274263471763759,2.180808189020514,0.65619720271136,0.33058736592139726,1.0718670681204099,0.00027870230184051556,0.09665229024000699,1.0425689022853852
109,0.00011680568480144896,0.03942801897260883,0.0006024654851502195,2.1448603666025,0.6287465870213746,0.3277388253061806,1.0706200442900207,0.0002646290601165825,0.09471103905398347,1.0422684580333024
110,0.00010927532482088064,0.03775858629990828,0.000576956327163284,2.1067434175860797,0.6005004895486589,0.3247726909712212,1.0694836353434758,0.00025031804999629326,0.09266348890728156,1.0414839429661424
111,0.00010228536165255977,0.03618013924410898,0.0005528374417605783,2.070303480202007,0.5740012801657437,0.3218565335917557,1.0682463831655507,0.00023697425500207733,0.09070716634208766,1.040819512689946
112,9.555683723839833e-05,0.03462574700067192,0.0005290861171579746,2.0334420218111258,0.5478875511012758,0.3189060672370773,1.0670537546656824,0.00022395556005387558,0.088734995299451,1.040213300487667
113,8.900059009586176e-05,0.03308848175177873,0.0005055964953582485,1.9966944177506083,0.5222369690348114,0.3158873223434113,1.0657085647205242,0.000211227557198582,0.08676965825348934,1.0392503061299965
114,8.27144340062972e-05,0.03156450378220517,0.0004823099049912501,1.958309821666,0.4966572388403427,0.31278983525064563,1.064271410917168,0.0001987289019721571,0.0847463613817897,1.0377127452181343
115,7.689688398026239e-05,0.03013151577561938,0.00046041365361727365,1.9222142683521766,0.472904236828298,0.30974498382949933,1.0626440408033953,0.0001871673569978067,0.08283947496530089,1.0365997176141186
116,7.153853983825173e-05,0.028761180236943407,0.0004394747404626323,1.8857637404525014,0.4499973576604513,0.30674166249305795,1.0612207561592977,0.0001762201525177894,0.08092995148477823,1.0351286451915602
117,6.688802906463217e-05,0.027537655316000168,0.00042077911348726877,1.8526810906836189,0.42968312324381874,0.3039767740456314,1.060036875060034,0.0001666155456811876,0.07919489106039856,1.0342073424636906
118,6.199686523284686e-05,0.026240217564296526,0.00040095408841879206,1.8174863543162558,0.40825591567486863,0.3009687197079207,1.058625569953407,0.0001565061974400559,0.07734919520138414,1.0321137533750047
119,5.7410062560278234e-05,0.02498526475190393,0.00038177823899343836,1.7818188372239208,0.3875021236045043,0.2978911850575598,1.0568857052497678,0.00014684732553099842,0.0755001141992283,1.0313066958460233
120,5.3364418942980736e-05,0.023839534086459845,0.0003642713188083844,1.7483430974319956,0.36857818613373433,0.29503516927178575,1.0556007229733664,0.0001381668164513653,0.0737676638339619,1.0288160497466117
121,4.9456623632809424e-05,0.022711198169048426,0.0003470301927358839,1.7146987137035508,0.3500221302653497,0.2920886906301568,1.054074306641151,0.00012971916291566594,0.07203013907102458,1.0275367582633117
122,4.5861776411850014e-05,0.02163381746959747,0.00033056766931473177,1.6810555084339829,0.3322167194873097,0.2892183407978617,1.052851806032801,0.00012175110466257011,0.07030762467080504,1.024347367010781
123,4.260818674778253e-05,0.020640657950907585,0.0003153920569748184,1.6498047965181555,0.31600995267203436,0.2864074529093649,1.0513103140948328,0.00011453682772316689,0.06870572765129017,1.0211893882291754
124,3.944707584979908e-05,0.019645362648889504,0.00030018380957556087,1.6172862712004665,0.29968685377990284,0.28356362132222585,1.050054516093127,0.00010737412586153687,0.0670508200640349,1.0160982997948482
125,3.6343826931052355e-05,0.01865279837832006,0.0002850172927077765,1.584475432715076,0.28354068838477364,0.2805761884053734,1.048401285338332,0.00010032461346672448,0.0653823899809115,1.011626580124363
126,3.351391337860081e-05,0.017719253811339552,0.0002707526049270896,1.552665735831023,0.2683870858345275,0.2776529293931779,1.0468081784338226,9.379398947598478e-05,0.06376934043383424,1.007753453652925
127,3.092390152975633e-05,0.016842585493413113,0.00025735699395707613,1.5222635717827895,0.2542593093652936,0.2747844556526134,1.0451227183315972,8.776216546761382e-05,0.0622296430945518,1.0039430014715014
128,2.8486264583913225e-05,0.01599368694357332,0.0002443857088152117,1.4919836441514984,0.2405938003661409,0.27190802336535186,1.0434614936737512,8.199748641203578e-05,0.06070027317325959,1.000357046489198
