,Ce,K,La,Na,Nd,Pb,Sr,Ti,Yb,Na_new
166,5.1400643607661356e-05,1.058567386535706e-07,1.7493752044600678e-06,0.014815741686906215,0.006268292793792705,1.7092850605873112e-06,0.001162872095476341,0.09343063051286646,1.8806741801492788,0.04492988103035263
167,4.7270272340959585e-05,9.718786152782971e-08,1.6001425754608356e-06,0.01421850191987724,0.005884877558299499,1.571933046967775e-06,0.0010777640372444189,0.09120639408919037,1.8143518178713247,0.042724916077752396
168,4.329794232657839e-05,8.883380375722009e-08,1.4526343501659748e-06,0.013641195037688887,0.005526025750178286,1.4398365619289706e-06,0.0009965805255541518,0.08899994632450596,1.7515446014239555,0.04081491778824816
169,3.9718822962258176e-05,8.132654439154659e-08,1.3260668624152007e-06,0.013076448655527102,0.005170180789808697,1.3208159654907693e-06,0.0009211978016164536,0.08689250758666893,1.6869347925640508,0.03890392701089793
170,3.629237413779482e-05,7.415633706488124e-08,1.2037345068479677e-06,0.012516325860671973,0.004830276133888476,1.206872299119066e-06,0.0008490269374992688,0.08471372057334405,1.623329239736081,0.036898404258379744
171,3.3032827975787214e-05,6.73280902391171e-08,1.0844943524746696e-06,0.01197911191366724,0.00451559184859215,1.0984788400499299e-06,0.0007808553341025608,0.08256589890831373,1.5637170775325282,0.035109562123506646
172,3.0278482092547022e-05,6.159903509177966e-08,9.86600513390667e-07,0.01148797399082712,0.004236239064731589,1.0068853902509687e-06,0.0007220113043239735,0.08056422231066147,1.508610524456529,0.033512802618986176
173,2.760974156085204e-05,5.605342571238502e-08,8.939744928074795e-07,0.01098399444176704,0.00394909272954224,9.181386742326084e-07,0.0006640498460084552,0.07851071201811881,1.450168980449002,0.03169677545941581
174,2.502090909760128e-05,5.0660025914308754e-08,8.017157230398337e-07,0.010492338117749021,0.003677768050625918,8.320492336494476e-07,0.0006082964369371539,0.07645427148495902,1.394232362694241,0.03008890378831761
175,2.2792663115788935e-05,4.6046611714911094e-08,7.240837208388754e-07,0.010037943679457841,0.0034344574508089762,7.579507924490371e-07,0.0005594307336801755,0.0745163837796137,1.3421535824703867,0.028599019393632408
