,Ce,K,La,Na,Nd,Pb,Sr,Ti,Yb,Na_new
147,0.010580071956072499,4.95503829182123e-05,1.577973816137395e-05,0.0487162440148597,1.238945771483156,0.00016166493651044594,0.15712707510261859,0.2466742240750904,1.0348489294090122,0.9220164498119554
148,0.010072807576313776,4.645097016221588e-05,1.4620199065897074e-05,0.04755526670606618,1.2148253100822075,0.00015391386788934493,0.14900278406900516,0.24427402166736686,1.0336562677104049,0.9151754984322213
149,0.00958464691551925,4.351408239461411e-05,1.3519680605097136e-05,0.046429918451981717,1.1915106991118065,0.0001464547066887494,0.1412760704120217,0.2418220370970365,1.0320676400045354,0.9101017608387927
150,0.00909188808533946,4.057787546906178e-05,1.2449218942284011e-05,0.04524972297422241,1.1667782534621736,0.00013892528483540795,0.1334127083284252,0.23933031670531282,1.0308171046543415,0.902179538622813
151,0.008607325736744343,3.7734897185469995e-05,1.1412664059670517e-05,0.04407912765807563,1.1422948768490389,0.00013152110633395453,0.12576513777319281,0.23673194656566388,1.0291317107111193,0.8949726714260193
152,0.008153299443309016,3.511657429861943e-05,1.0471273609589895e-05,0.042954312835777705,1.118711101610754,0.00012458352290285445,0.11863146134473813,0.2341874474436686,1.0274384971680632,0.8881448374760884
153,0.00772392621868617,3.268195293979015e-05,9.60648142051357e-06,0.04186794779531066,1.09589381084354,0.00011802264171167344,0.1119220407799333,0.23167703131445763,1.0257052808099216,0.8814372651973139
154,0.007310177876490894,3.037121723741167e-05,8.797959676553966e-06,0.040794483790931674,1.0732749076438468,0.00011170051084621081,0.10547351198826758,0.22916047310497406,1.023939842026858,0.8746828626966566
155,0.006916067205101355,2.8205789338752365e-05,8.051428032086042e-06,0.039746186118522694,1.0511239245443336,0.00010567844625791566,0.09935261145833313,0.22666131023061709,1.0221455925689589,0.8680271960773038
156,0.006538430723521365,2.6164311330490053e-05,7.358214378386443e-06,0.03871687745124103,1.0293004974903304,9.990810952749133e-05,0.09350734147561442,0.22416801306724482,1.0203135699667574,0.8612234341276975
