,SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,T_pyMelt,T_MELTS,F_MELTS,F_pyMelt,P,Augite,Garnet,Liquid,Olivine,X,Orthopyroxene,Spinel,Plagioclase
0,39.9753242990522,3.78269724938703,0.0511616177662157,0.0,22.3960809135677,11.586208647026,0.324571583124392,21.8839556900765,1695.9820858970502,1357.6999999999975,7.124663950266722e-16,0.00039219242779457036,6400.0,45.4789215648699,30.7505433041844,0.0400644746126334,23.460470656333,0.0004017294155483147,,,
1,39.8639298570165,3.78241039639727,0.0519459021223763,0.0151084167128525,22.6734629398379,11.8705467068272,0.345843206968187,21.3967525741178,1695.462368452847,1362.799999999992,-9.97452953037341e-16,0.001828383277711884,6380.0,45.4260472677534,30.9408932598912,0.184198678905012,23.1788607934505,0.0018469736178182272,,,
2,39.8041660027788,3.76005552047945,0.0536557176605331,0.0164985774451213,22.8431478361071,12.0752390469014,0.367550812582212,21.0796864860454,1694.9300337245738,1366.4999999999977,5.699731160213377e-16,0.0036948465638294054,6360.0,44.7832231136558,31.1816863299632,0.368535960597191,22.8238076566254,0.003695337015914882,0.572746939158354,,
3,39.6773983444042,3.73655200934906,0.0548102636176383,0.0188297572069839,23.1893879859683,12.455396546553,0.402599978936525,20.4650251139644,1694.3890285978107,1373.1,2.8498655801066886e-16,0.0058585907589693694,6340.0,44.1713988053629,31.5150124847242,0.638013095441607,22.3213527889408,0.006397403945067754,1.08422282553048,,
4,39.601209821368,3.7061055312002,0.0561601915966325,0.020613397496578,23.4172845502545,12.7146713785621,0.428757935338801,20.0551971941832,1693.8411491253914,1377.5999999999958,0.0015040609646034915,0.008258841692835528,6320.0,43.7892897636022,31.729503175794,0.672952137692068,22.0068050703426,0.006757904576140463,1.38144985256923,,
5,39.4719154158505,3.67543395466021,0.0572759073028689,0.0236335201315121,23.7744357805059,13.115227852633,0.469364403213519,19.4127131657025,1693.287469777707,1384.299999999998,0.0033089341221298756,0.010859230444094555,6300.0,43.197805718547,32.048308012705,0.751250101274968,21.5283982906112,0.007557848101357828,1.87423787686184,,
6,39.3325716358735,3.65610627610947,0.0583588599218589,0.0273298915513796,24.1323952537768,13.5466103711055,0.51508200993918,18.7315457017224,1692.728718710716,1391.2999999999915,0.005815702396469883,0.013635109836318658,6280.0,42.5984132272401,32.3661154575753,0.785017416811665,21.0350225223906,0.007917472685947197,2.36543137598238,,
7,39.2001051921465,3.64191235252946,0.0594781173827646,0.0314603403749475,24.4584752316003,13.9698452663059,0.562381732402469,18.0763417672577,1692.1654274114999,1397.9999999999936,0.008623282863733067,0.016568490761899046,6260.0,42.04280188872,32.6548300557312,0.797507611045958,20.5469722666448,0.008066224446707381,2.82788817785795,,
8,38.9237099341019,3.61151372637014,0.0596913071004717,0.0416715284865752,25.1283653452089,14.8421552483862,0.663516807261071,16.7293761030847,1691.598003629206,1411.1999999999998,0.011531134061966371,0.01964557356685164,6240.0,40.9121153050215,33.2186098965532,1.10872882170624,19.6065572635695,0.01124699555392817,3.73398871314966,,
9,38.9168138377395,3.6289473850798,0.0615301966519583,0.0424198982594696,25.1176895848684,14.8720930584777,0.671433045536446,16.6890729933867,1691.0267716264364,1411.7999999999984,0.017547377920384896,0.022855385416130757,6220.0,40.955432406074,33.2184747053431,0.521097828643223,19.6129512327956,0.005318410171904704,3.67204382714411,,
10,38.5431802075442,3.60495203083911,0.0608075361815982,0.0620858909615718,25.9652190213013,16.0726489327706,0.827356369344576,14.863750011057,1690.451996390627,1429.1,0.017848190113306364,0.02618896060581736,6200.0,39.4779464960864,33.9049257666216,1.27959482194786,18.3584285176254,0.013063755201101179,4.9291043977187,,
11,38.6000336677765,3.61565090518801,0.0631618061665368,0.0597871832463361,25.8225589176281,15.9168860274506,0.811882992241359,15.1100385003026,1689.873899152326,1427.0999999999926,0.0258698485911955,0.029638815160275403,6180.0,39.6790726003666,33.8068505517522,0.368395676873474,18.4830985195084,0.0037920296126965902,4.8125826514994,,
12,38.4445671096125,3.61225307379693,0.0638900368929419,0.0709051897519864,26.1516825248836,16.4429054799513,0.889399054756312,14.3243975303544,1689.292667831109,1434.599999999994,0.025869848591195926,0.033198593151969984,6160.0,39.0787839261578,34.0786586354537,0.713636974429697,17.9583181214689,0.007345722845390599,5.32060234248993,,
13,38.3122390113817,3.59577345938802,0.0647549140342204,0.0833307684976251,26.4283257988269,16.9483010046562,0.968111556134563,13.5991634870808,1688.7084643469748,1441.6999999999966,0.02817607540359071,0.03686281914310513,6140.0,38.533031874072,34.3255724616173,0.845347311992139,17.4587815433583,0.008722114238466156,5.75726680896015,,
14,38.1549296966329,3.6098937437391,0.0653784557839668,0.0996529857276015,26.7120795536247,17.4995356627482,1.0586156147684,12.7999142869751,1688.1214299035153,1449.299999999998,0.03178582171863992,0.040626719296426535,6120.0,37.959153619055,34.5762294652504,0.853747140197572,16.9269703197418,0.008841623241482723,6.24389945575527,,
15,37.9893412130568,3.62925687142153,0.0658228420996256,0.120452428279457,26.9959240019467,18.0784098297926,1.15986914599891,11.9609236674044,1687.5316889081666,1457.1999999999907,0.03539556803369026,0.044486088631076545,6100.0,37.3580996546654,34.8302087166514,0.875566254776283,16.3791912353283,0.009101520319919775,6.75693413857868,,
16,37.8301682606605,3.65565300953307,0.0662521030677936,0.145244247281333,27.2415618138845,18.6474333738096,1.26602446642139,11.1476627253417,1686.9393519471994,1464.899999999992,0.039306126541662934,0.04843719028331585,6080.0,36.7734530217918,35.0669240366892,0.879812266660716,15.8231904326919,0.009182885572077198,7.26662024216633,,
