,SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,T_pyMelt,T_MELTS,F_MELTS,F_pyMelt,P,Augite,Garnet,Liquid,Olivine,Orthopyroxene,X
0,40.1523775876514,1.97920300214194,6.74325656577294,1.11292520123674,15.1570326783012,22.7594869238046,5.50069576979499,6.59502227129627,1510.0185458384433,1514.6999999999948,8.6713239389008475e-16,0.0005528633941014812,3080.0,16.5035119628147,11.9650932613042,0.0573647434478996,53.183941516873,16.6200885155601,0.0005833900482853622
1,40.1150153404129,1.95760655661699,6.83114292398391,1.13341746703996,15.1586553671788,22.8141299042747,5.60721735133629,6.38281508915634,1509.0008936544793,1515.599999999993,-5.780882625933899e-16,0.0015521045413646967,3060.0,16.424523687823,11.9246522904349,0.157007439249932,53.095042200122,16.7287743823702,0.0015967399496586183
2,40.0767039954979,1.9341666980709,6.91741576483873,1.15416755509795,15.1617808147387,22.8741264906265,5.7200299299756,6.16160875115371,1507.9032034055174,1516.5999999999913,7.226103282417373e-16,0.0027145317747650837,3040.0,16.3345182340153,11.8822013819045,0.269716385579015,52.9974442148772,16.8461197836239,0.002742971479497765
3,40.0380579987274,1.90865307885174,7.00217204753399,1.17479779400369,15.1657585188892,22.9390944798386,5.83933982682582,5.93212625532961,1506.7540741683379,1517.6999999999985,-5.780882625933899e-16,0.00398191510821742,3020.0,16.2321892590412,11.8372848279128,0.397369704316747,52.8901926289166,16.9729635798127,0.004041184829825555
4,40.0047846019666,1.88242809549562,7.08936597152371,1.19266302934563,15.1633016608731,22.9954151768499,5.95688325161739,5.71515821232806,1505.5669733730256,1518.6999999999966,2.8904413129669495e-16,0.005326790341914244,3000.0,16.1301622447194,11.7890297401651,0.529462002225864,52.7825708907947,17.0987751220949,0.005384541871512908
5,39.9949946103336,1.86159516730244,7.19441892111364,1.20197889617721,15.1176139120019,23.0076181992304,6.0465733994351,5.57520689440572,1504.3497685461732,1518.9999999999945,0.00040679345062565313,0.006733114471060897,2980.0,16.0755166561428,11.7391664859583,0.62291069394257,52.6987589948766,17.1536471690797,0.006337477809976297
6,39.9067287154683,1.86427235715117,7.25847100833179,1.24702611974001,15.1500558242463,23.1083165600265,6.19572182111581,5.26940759392015,1503.1076081132635,1520.5999999999922,0.001728872165158014,0.008190391751296202,2960.0,15.9170186521023,11.6791822025171,0.636110776183285,52.5478579241535,17.3798304450438,0.006480346130636564
7,39.8197172360845,1.86878416794595,7.32363561925081,1.29330766891815,15.1764260204409,23.2000136491742,6.34335315014432,4.97476248804126,1501.8441120503041,1522.099999999999,0.003152649242348089,0.009691244257076546,2940.0,15.7683762790825,11.6226914356294,0.644867074634895,52.4250500244445,17.5590151862086,0.006578933632267861
8,39.7349077566363,1.87330291398043,7.3888021477085,1.33848041095771,15.2038721467905,23.2805302102765,6.4896345900716,4.69046982357846,1500.5619561907786,1523.4999999999968,0.004678124682192409,0.011230219516523065,2920.0,15.623511042251,11.5626925123045,0.647577218254598,52.2711769183549,17.765042308835,0.006616708064315909
9,39.6504794351966,1.87772250801931,7.4532018703861,1.38433174113694,15.229757679558,23.3574621379512,6.63881350356423,4.40823112418765,1499.2631930223033,1524.8999999999937,0.006203600122037741,0.012803135912905238,2900.0,15.4770283336574,11.5020657693297,0.651304879321016,52.1165562952304,17.9730447224615,0.006665011045037003
