,SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,T_pyMelt,T_MELTS,F_MELTS,F_pyMelt,P,Augite,Garnet,Liquid,Olivine,Orthopyroxene,X,Spinel
74,39.0708683286159,2.2764830487158,5.48949664742842,2.11598518867844,14.4345630277178,26.7835981715515,7.27714360851476,2.55186197877743,1550.0003606800922,1568.3999999999915,0.09569815925963648,0.10279568829066363,3220.0,8.5799027329081,11.903942511197,0.636892709282937,45.25581091939,22.5434511272219,0.0071625360918009156,
75,39.090161957215,2.26861324815826,5.61110605320784,2.10918669553099,14.323810118789,26.7196911107473,7.30962605026242,2.56780476608928,1548.5695699217513,1567.3999999999915,0.09752872978744975,0.10451248042883052,3200.0,8.57370106131072,11.8213917716348,0.629900302276735,45.1830108988725,22.5319959659053,0.007098267999512448,
76,39.1119502555832,2.25863507697793,5.73406959171959,2.09974682613325,14.2144348636858,26.6544276187529,7.34336114269592,2.58337462445133,1547.1352009949337,1566.3999999999905,0.09925760195260776,0.10623666244549407,3180.0,8.56101331656316,11.7344761537276,0.623289482407308,45.0857276874525,22.5654933598495,0.007037252821579626,
77,39.1344854545749,2.24799967118744,5.85831215267277,2.08994842659792,14.1046134978409,26.588796232213,7.37813932555815,2.59770523935492,1545.6972577570343,1565.3999999999905,0.10098647411776679,0.1079682170011397,3160.0,8.54636175984146,11.6470787310833,0.618722860987815,44.9870154925185,22.6008211555689,0.006999127386739991,
78,39.1525391816777,2.23426086210325,5.97782634587118,2.07992823331108,14.0190407879714,26.5210160780848,7.41876065998034,2.59662785100018,1544.2557437558958,1564.4999999999986,0.10261364792026825,0.1097071269684051,3140.0,8.51482313424912,11.5625938743663,0.635570164342801,44.8963787292306,22.6306340978112,0.007202744382851325,
79,39.0616901813573,2.25234731608485,6.0299910568326,2.15017959046658,14.0157559353953,26.5895829653223,7.59847194610055,2.30198100844051,1542.8106622385892,1566.499999999996,0.10454591681073995,0.11145337540057781,3120.0,8.33143407786183,11.5106570345894,0.613529445100605,44.7513773137632,22.8430021286849,0.006967966440665594,
80,39.0795886998137,2.23953143307861,6.15169988351282,2.14007659194561,13.9297626352467,26.5170153984993,7.63694046825161,2.30538488965163,1541.362016159542,1565.499999999995,0.1061730906132417,0.11320694550103708,3100.0,8.30867875210867,11.4251696653086,0.62319055168316,44.6659636379602,22.8669973929393,0.00709057403212152,
81,39.103901589692,2.22652636200385,6.27946284903885,2.12896342472737,13.8194568908141,26.450833285499,7.67659069988052,2.31426489834439,1539.9098081880504,1564.499999999995,0.10790196277839971,0.11496782059345352,3080.0,8.28883704179677,11.3356167745445,0.625036765944266,44.562977072274,22.9075323454404,0.007125362128867606,
82,39.1290286286414,2.21288588584146,6.40836194183423,2.1174677612377,13.7087607815295,26.3842713348514,7.71740650254549,2.32181716351877,1538.4540407152076,1563.499999999994,0.1096308349435573,0.11673598409269861,3060.0,8.266886073564,11.2454141957194,0.629099845328586,44.458567829061,22.950032056327,0.007185606457208293,
83,39.1549627164067,2.19862882322783,6.53835926307179,2.10560507203433,13.5977027876823,26.317330117244,7.75940909216651,2.32800212816648,1536.9947158602754,1562.499999999994,0.11135970710871458,0.11851141947632622,3040.0,8.24281276665395,11.1545211099861,0.63538793905753,44.3527576504363,22.9945205338662,0.007271548856231739,
