,SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,T_pyMelt,T_MELTS,F_MELTS,F_pyMelt,P,Augite,Garnet,Liquid,Olivine,X,Orthopyroxene,Spinel,Plagioclase,Pigeonite
0,39.9136800978584,3.77337343784342,0.0496625295293479,0.0142721987044218,22.5571703398395,11.7090525785305,0.330530474907744,21.6522583427867,1697.403941915425,1359.6999999999966,-9.97452953037341e-16,0.0010108136025366295,6414.0,45.4462054138701,30.8444188552475,0.102708850344914,23.3366668805376,0.0010298691501545562,,,,
1,39.8368641120485,3.75431989337957,0.0511324714392795,0.0156705034016607,22.7721713077419,11.9513626700365,0.35326372954213,21.2652153124104,1696.864801268386,1364.0999999999926,5.699731160213377e-16,0.002862425660336124,6393.0,44.9213134863328,31.0921654158718,0.289648016643368,22.9734827466004,0.0029043218353892323,0.453390334551584,,,
2,39.7322838334529,3.73628524215746,0.0524818472290436,0.0175333275959418,23.0570232642525,12.268200587935,0.382295925712491,20.7538959716646,1696.3195151571747,1369.6999999999957,-1.4249327900533443e-16,0.0051384221359650145,6371.0,44.4144861552914,31.373000362718,0.512507421304567,22.552274450915,0.005138949376361846,0.877731609771044,,,
3,39.6103400013155,3.71650855075672,0.0537078367142311,0.0199510824587368,23.3821534043837,12.6413342587802,0.417509239658791,20.1584956259321,1695.7696265217512,1376.099999999999,0.00010027073097325262,0.007734562762526853,6350.0,43.8403050697752,31.6877170027106,0.776457959743516,22.0940442422904,0.007786381465538664,1.32147572548034,,,
4,39.4646074706472,3.7011582838894,0.0547577515468417,0.023024164910424,23.7661605730115,13.0521306899479,0.458636570576154,19.4795244954706,1695.2159509368119,1382.9999999999918,0.002907851198235298,0.010595676819319213,6329.0,43.2313202989202,32.0176990094318,0.765478696211067,21.5744773029326,0.007697895175091181,1.85102469250432,,,
5,39.3222019207206,3.68266730845229,0.0559346160223024,0.0266925210199182,24.1331476811425,13.4868301472321,0.504378965018433,18.7881468403918,1694.6590083947663,1390.0999999999945,0.005615160934521525,0.013686581130005569,6307.0,42.6284152644242,32.3406670349772,0.804309348497819,21.0609374910261,0.008110409887040614,2.33567086107484,,,
6,39.0369063552599,3.65590074224856,0.0562140757037532,0.0352849721442351,24.8424196420335,14.3360623177988,0.597133652993874,17.4400782418174,1694.0991647608653,1403.2999999999997,0.008623282863730788,0.01698251922571607,6286.0,41.4737843290831,32.9280141128113,1.06305425332147,20.1034576694754,0.010752040591903192,3.30168963530886,,,
7,38.8281941601187,3.64421058777592,0.0568893615843958,0.0436874065004916,25.3325857880444,14.9869129837167,0.675926081822264,16.431593630437,1693.5366939451378,1413.1,0.014238443798254879,0.020464956437359797,6264.0,40.6822026866625,33.3271038462638,0.91773261721594,19.4204264109628,0.009335089179289387,3.96253443889499,,,
8,38.6558996339859,3.61117643319834,0.0576258070304537,0.0531645202214762,25.7440984893283,15.600056740282,0.755555979739403,15.5224223962142,1692.9718100362038,1422.1,0.018550085230122554,0.024119406081999986,6243.0,39.9728884432851,33.6774906754579,0.894186295249039,18.8235658255851,0.009135536322527995,4.51186876042274,,,
9,38.4582870758713,3.62408077877902,0.0582280131289498,0.0654404697419047,26.1472474119529,16.2370518567737,0.844431612576437,14.5652327811758,1692.4046857650144,1431.1999999999998,0.022460643738093655,0.02793418027534262,6221.0,39.271649574114,34.0101753930392,0.92803241459128,18.2128824122056,0.009519257509398716,5.06726020604984,,,
10,38.4953798782562,3.60871319545315,0.0604602509659994,0.0651845530534468,26.0626127243696,16.2171594251542,0.84671227204696,14.6437777007005,1691.8354639453435,1431.0999999999908,0.026872555900932016,0.03189961585660878,6200.0,39.3747538997191,33.9799153055977,0.49122949122671,18.2590677426717,0.005061612480440079,4.94503356078484,,,
11,38.3269031834488,3.60380272884406,0.0610994723247479,0.0787778275762022,26.4103754906161,16.8066491734152,0.935454692216127,13.7769374315589,1691.2642649767645,1439.3999999999915,0.02687255590093173,0.036007566702495164,6179.0,38.7104052749029,34.2746986804636,0.890446094077376,17.6691386478619,0.009175127192966256,5.50531130269431,,,
12,38.1296591495576,3.63037014714215,0.0615230307347475,0.0973843402951681,26.7718759571693,17.4503242195607,1.03930614164595,12.8195570138944,1690.6911919888178,1448.2999999999925,0.03098365587085119,0.04025105563283691,6157.0,38.0320012780541,34.5734585458676,0.897311390705599,17.0440397425593,0.009285093032963564,6.09318904281341,,,
13,38.0023923628913,3.59295694593761,0.0623214320569328,0.1167607517636,27.0267082099533,18.0270304569446,1.13801004637726,12.0338197940755,1690.1163344963552,1456.1999999999935,0.035094755840770646,0.044624027050843125,6136.0,37.439080309372,34.8343301458512,0.920453310730944,16.501528226941,0.009565138841639245,6.5346080071048,,,
14,37.8840512508281,3.55896722469968,0.0632450851152139,0.139600528568341,27.2420534979615,18.5940763412588,1.24147243509566,11.2765336364728,1689.5397710745738,1463.8999999999955,0.039506668003609434,0.04912116591396152,6114.0,36.8669155235625,35.0775481704776,0.924833115083334,15.9523341656376,0.009654798153077918,6.96836902523902,,,
15,37.76594130366,3.52963131330895,0.0640028851920125,0.167435963291223,27.4404593090161,19.1570238468675,1.3505669793572,10.524938399307,1688.9615713655658,1471.4999999999968,0.04401885089742262,0.05373776193755892,6093.0,36.2155450116985,35.3189400404306,0.929498872416878,15.3767593178456,0.009749306402526511,7.49925675760848,,,
